genus,species,parasitic_habit,habit,native,ecosystem,ecosystem_lump,host,inat_GA,inat_entire,inat_south,inat_prop,georgia_inat,inat_south_prop,south_inat,protection_state,protection_fed,NatureServ_status_GA,swap_species,DNR_monitor,DNR_status_GA,DNR_status_lump,NatureServ_status,EO,accessions_GA,accessions_south,accessions_prop,georgia_accessions,last_accession_GA,habitat,georgiabiodiversity_link,SERNEC_link,NatureServ_link,INat_link,key_notes
Buchnera,longifolia,Root Hemiparasite,Root-Hemi,No,Tropical,Tropical,Generalist,0,47,0,0.00,0%,0.00,< 10%,N/A,N/A,SNR,N/A,N/A,N/A,N/A,G4,0,0,179,0.00,0%,N/A,N/A,N/A,SERNEC - Buchnera longifolia (sernecportal.org),Buchnera longifolia | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/25/1994; Nature Serve states that status needs review
Viscum,album,Stem Hemiparasite,Stem-Hemi,No,Forest,Forest,Generalist,0,60,0,0.00,0%,0.00,< 10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GNR,0,0,0,0.00,0%,N/A,N/A,N/A,N/A,Viscum album | NatureServe Explorer,Observations · iNaturalist,N/A
Agalinis,tenella,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,0,3,3,0.00,0%,100.00,100%,No Georgia state protection,No US federal protection,S2?,No,less than 10,S2?,S2,G4,2,0,0,0.00,0%,N/A,"Dry, sandy to loamy openings",Agalinis tenella (georgiabiodiversity.org),N/A,Agalinis tenella | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/26/1995; Nature Serve states that status needs review
Agalinis,filicaulis,Root Hemiparasite,Root-Hemi,Yes,Wetland,Wetland,Generalist,0,37,37,0.00,0%,100.00,100%,No Georgia state protection,No US federal protection,S2?,No,Over 25,S2?,S2,G3,3,4,203,1.97,Less than 5%,1902,"Seasonally wet, longleaf pine-wiregrass savannas; grassy pine barrens",https://georgiabiodiversity.org/portal/profile?group=all&es_id=21809,SERNEC - Agalinis filicaulis (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135270/Agalinis_filicaulis,Jackson False Foxglove (Agalinis filicaulis) (inaturalist.org),Global Status last reviewed 9/27/2021
Agalinis,georgiana,Root Hemiparasite,Root-Hemi,Yes,Grassland,Grassland,Generalist,1,2,2,50.00,50%,100.00,100%,No Georgia state protection,No US federal protection,N/A,Yes,11 to 25,S1,S1,N/A,8,21,44,47.73,25% to 50%,2015,Mesic to submesic wiregrass pinelands,https://georgiabiodiversity.org/portal/profile?group=all&es_id=19802,,,,
Agalinis,laxa,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,1,8,8,12.50,10 to 25%,100.00,100%,No Georgia state protection,No US federal protection,S1,No,less than 10,S1,S1,G3,7,19,50,38.00,25% to 50%,2015,Dry longleaf pine sandhills,Agalinis laxa (georgiabiodiversity.org),SERNEC - Agalinis laxa (sernecportal.org),Agalinis laxa | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/12/1995; Nature Serve stats that status needs review
Agalinis,pulchella,Root Hemiparasite,Root-Hemi,Yes,Savannah,Savannah,Generalist,1,6,6,16.67,10 to 25%,100.00,100%,No Georgia state protection,No US federal protection,S3?,No,N/A,S3?,S3,G4,2,11,138,7.97,5 to 10%,2015,"Dry, sandy, open, longleaf pinelands",Agalinis pulchella (georgiabiodiversity.org),SERNEC - Agalinis pulchella (sernecportal.org),Agalinis pulchella | NatureServe Explorer,Observations · iNaturalist,"Global Status last reviewed 5/11/1985; Nature Serve states that status needs review, habitat not described on Nature Serve and no DNR Website for this species"
Aureolaria,patula,Root Hemiparasite,Root-Hemi,Yes,Forest,Forest,Oak,1,16,16,6.25,5 to 10%,100.00,100%,Threatened,No US federal protection,S1,Yes,11 to 25,S1,S1,G3,10,24,105,22.86,17 to 25%,1999,"Coosa Valley flatwoods with moist, calcium-rich soil and low, streamside forests over circumneutral soils",Aureolaria patula (georgiabiodiversity.org),SERNEC - Aureolaria patula (sernecportal.org),Aureolaria patula | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/1/2001; Nature Serve states that status needs review
Agalinis,plukenetii,Root Hemiparasite,Root-Hemi,Yes,Forest-Edge,Forest,Generalist,4,76,76,5.26,5 to 10%,100.00,100%,N/A,N/A,S3S4,N/A,N/A,N/A,N/A,G4,0,44,395,11.14,12 to 25%,2021,N/A,N/A,SERNEC - Agalinis plukenetii (sernecportal.org),Agalinis plukenetii | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/17/1995; Nature Serve states that status needs review
Agalinis,aphylla,Root Hemiparasite,Root-Hemi,Yes,Wetland/Savannah,Wetland,Generalist,1,56,56,1.79,Less than 5%,100.00,100%,No Georgia state protection,No US federal protection,S2,No,11 to 25,S2,S2,G3,12,31,345,8.99,5 to 10%,2010,Pitcherplant bogs; pine flatwoods:Moist to wet pine savannas (disturbed savanna fields),https://georgiabiodiversity.org/portal/profile?group=all&es_id=20070,SERNEC - Agalinis aphylla (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144947/Agalinis_aphylla,https://www.inaturalist.org/taxa/158045-Agalinis-aphylla,Global Status last reviewed 2/1/2013; could potentially be included in restoration fire disturbance work due to habitat it resides
